Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
clean.RS12C_S106_L001_R1_001	clean.RS12C_S106_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3720494.0	0.0	15-101	46.0	58.523505473028514	99.14094633669615	pass	pass	pass	pass	fail	pass	pass	warn	warn	pass	pass
clean.RS12C_S106_L002_R1_001	clean.RS12C_S106_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3726166.0	0.0	15-101	46.0	58.070117105646226	99.15105392513377	pass	pass	pass	pass	fail	pass	pass	warn	warn	pass	pass
clean.RS13A_S121_L001_R1_001	clean.RS13A_S121_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4324474.0	0.0	15-101	46.0	63.187351876583456	96.99029292348618	pass	pass	pass	pass	fail	warn	pass	warn	warn	warn	pass
clean.RS13A_S121_L002_R1_001	clean.RS13A_S121_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4325459.0	0.0	15-101	46.0	62.54203326116164	96.99915823962266	pass	pass	pass	pass	fail	warn	pass	warn	warn	warn	pass
clean.RS13C_S119_L001_R1_001	clean.RS13C_S119_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4210037.0	0.0	15-101	46.0	59.305074820431614	97.58175902017013	pass	pass	pass	pass	fail	warn	pass	warn	warn	warn	pass
clean.RS13C_S119_L002_R1_001	clean.RS13C_S119_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4215162.0	0.0	15-101	46.0	58.646225331270664	97.58776388665488	pass	pass	pass	pass	fail	warn	pass	warn	warn	warn	pass
clean.RS14B_S107_L001_R1_001	clean.RS14B_S107_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4537635.0	0.0	15-101	46.0	65.47902076868071	98.62922778055088	pass	pass	pass	pass	fail	warn	pass	warn	warn	pass	pass
clean.RS14B_S107_L002_R1_001	clean.RS14B_S107_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4540657.0	0.0	15-101	46.0	64.85599979141888	98.6317953547251	pass	pass	pass	pass	fail	warn	pass	warn	warn	pass	pass
clean.RS14C_S109_L001_R1_001	clean.RS14C_S109_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4267856.0	0.0	15-101	46.0	52.1135981703293	99.19976775223907	pass	pass	pass	pass	fail	warn	pass	warn	warn	pass	pass
clean.RS14C_S109_L002_R1_001	clean.RS14C_S109_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4265417.0	0.0	15-101	46.0	51.7248901549917	99.21052033130641	pass	pass	pass	pass	fail	warn	pass	warn	warn	pass	pass
clean.RS15B_S104_L001_R1_001	clean.RS15B_S104_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3862940.0	0.0	15-101	46.0	61.733471370439695	98.56707171221919	pass	pass	pass	pass	fail	warn	pass	warn	warn	warn	pass
clean.RS15B_S104_L002_R1_001	clean.RS15B_S104_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3867566.0	0.0	15-101	46.0	61.19126033238758	98.57151448740629	pass	pass	pass	pass	fail	warn	pass	warn	warn	warn	pass
clean.RS15D_S82_L001_R1_001	clean.RS15D_S82_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2934291.0	0.0	15-101	47.0	59.29098462873471	99.22309750464422	pass	pass	pass	pass	fail	pass	pass	warn	warn	pass	pass
clean.RS15D_S82_L002_R1_001	clean.RS15D_S82_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2931984.0	0.0	15-101	47.0	58.99141114218902	99.22936687239766	pass	pass	pass	pass	fail	pass	pass	warn	warn	pass	pass
